name,type,start_time,duration,"data"
"Async Serial","data",33.441497,0.000247,0x06
"Async Serial","data",33.441758,0.000247,0x00
"Async Serial","data",33.442018,0.000247,0x04
"Async Serial","data",33.442279,0.000247,0x05
"Async Serial","data",33.442539,0.000247,0x37
"Async Serial","data",33.442799,0.000247,0x8A
"Async Serial","data",33.44306,0.000247,0x8D
"Async Serial","data",35.401181,0.000247,0x01
"Async Serial","data",35.401442,0.000247,0x03
"Async Serial","data",35.401702,0.000247,0x01
"Async Serial","data",35.401962,0.000247,0x08
"Async Serial","data",35.402222,0.000247,0x00
"Async Serial","data",35.402483,0.000247,0x01
"Async Serial","data",35.402743,0.000247,0x04
"Async Serial","data",35.403004,0.000247,0x34
"Async Serial","data",37.360612,0.000247,0x01
"Async Serial","data",37.360872,0.000247,0x03
"Async Serial","data",37.361132,0.000247,0x01
"Async Serial","data",37.361393,0.000247,0x08
"Async Serial","data",37.361653,0.000247,0x00
"Async Serial","data",37.361914,0.000247,0x01
"Async Serial","data",37.362174,0.000247,0x04
"Async Serial","data",37.362434,0.000247,0x34
"Async Serial","data",39.32094,0.000247,0x01
"Async Serial","data",39.3212,0.000247,0x03
"Async Serial","data",39.321461,0.000247,0x01
"Async Serial","data",39.321721,0.000247,0x08
"Async Serial","data",39.321982,0.000247,0x00
"Async Serial","data",39.322242,0.000247,0x01
"Async Serial","data",39.322503,0.000247,0x04
"Async Serial","data",39.322763,0.000247,0x34
"Async Serial","data",41.281022,0.000247,0x01
"Async Serial","data",41.281282,0.000247,0x06
"Async Serial","data",41.281543,0.000247,0x00
"Async Serial","data",41.281803,0.000247,0x02
"Async Serial","data",41.282063,0.000247,0x00
"Async Serial","data",41.282324,0.000247,0x02
"Async Serial","data",41.282584,0.000247,0xA9
"Async Serial","data",41.282844,0.000247,0xCB
"Async Serial","data",43.240681,0.000247,0x01
"Async Serial","data",43.240941,0.000247,0x06
"Async Serial","data",43.241201,0.000247,0x00
"Async Serial","data",43.241461,0.000247,0x02
"Async Serial","data",43.241722,0.000247,0x00
"Async Serial","data",43.241982,0.000247,0x04
"Async Serial","data",43.242243,0.000247,0x29
"Async Serial","data",43.242503,0.000247,0xC9
"Async Serial","data",45.200609,0.000247,0x01
"Async Serial","data",45.200869,0.000247,0x06
"Async Serial","data",45.201129,0.000247,0x00
"Async Serial","data",45.20139,0.000247,0x02
"Async Serial","data",45.20165,0.000247,0x00
"Async Serial","data",45.20191,0.000247,0x04
"Async Serial","data",45.20217,0.000247,0x29
"Async Serial","data",45.202431,0.000247,0xC9
"Async Serial","data",47.160568,0.000247,0x01
"Async Serial","data",47.160828,0.000247,0x06
"Async Serial","data",47.161089,0.000247,0x00
"Async Serial","data",47.161349,0.000247,0x04
"Async Serial","data",47.16161,0.000247,0x00
"Async Serial","data",47.16187,0.000247,0x00
"Async Serial","data",47.16213,0.000247,0xC8
"Async Serial","data",47.162391,0.000247,0x0B
